track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_year,duration_min,genres,record_label,danceability,energy,key_name,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id_1,artist_id,artist_name,artist_followers,artist_popularity
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,83,TRUE,2013,4.12,EDM,Universal Music AB,53.2,78.3,D,-5.697,Major,5.23,0.38,0.12,16.1,64.3,124,4,0nrRP2bk19rLc0orkWPQk2,[1vCWHaC5f2uS3yhpwWbIA6],[Avicii],[23107521],[81]
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"DJ Snake,Justin Bieber",83,Encore,2016,3.43,EDM,DJ Snake Def Jam,47.5,71.5,G#,-5.371,Major,5.8,8.63,0.0,13.5,15.9,200,4,0lYBSQXN6rCTvUZvg9S0lU,"[540vIaP2JwjQb9dm3aArA4,1uNFoZAHBGtllmzznpCI3s]","[DJ Snake,Justin Bieber]","[8910877,78641625]","[79,91]"
7BqHUALzNBTanL6OvsqmC1,Happier,"Marshmello,Bastille",82,Happier,2018,3.57,EDM,Joytime Collective,68.7,79.2,F,-2.749,Major,4.52,19.1,0.0,16.7,67.1,100,4,7BqHUALzNBTanL6OvsqmC1,"[64KEffDW9EtZ1y2vBYgq8T,7EQ0qTo7fWT7DPxmxtSYEc]","[Marshmello,Bastille]","[33882258,5582338]","[84,76]"
2YWjW3wwQIBLNhxWKBQd16,Lean On (feat. MØ & DJ Snake),"Major Lazer,MØ,DJ Snake",77,Peace Is The Mission : Extended,2015,2.94,EDM,Third Pardee Records,72.3,80.9,G,-3.081,Minor,6.25,0.35,0.12,56.5,27.4,98,4,2YWjW3wwQIBLNhxWKBQd16,"[738wLrAtLtCtFOLvQBXOXp,0bdfiayQAKewqEvaU6rXCv,540vIaP2JwjQb9dm3aArA4]","[Major Lazer,MØ,DJ Snake]","[6206097,1458940,8910877]","[77,72,79]"
4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,81,JORDI (Deluxe),2021,3.16,Pop,Interscope Records*,77.5,32.7,B,-7.241,Major,5.57,84.1,0.0,8.21,59.5,91,4,4cktbXiXOapiLBMprHFErI,[04gDigrS5kc9YWfZHwBETP],[Maroon 5],[43145812],[87]
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,89,Lover,2019,2.97,Pop,Taylor Swift,55.2,70.2,A,-5.707,Major,15.7,11.7,0.0,10.5,56.4,170,4,1BxfuPKGuaTgP7aM0Bbdwr,[06HL4z0CvFAxyc27GXpf02],[Taylor Swift],[125722435],[100]
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,87,Unorthodox Jukebox,2012,3.56,Pop,Atlantic Records,61.2,28.0,C,-8.648,Major,4.34,93.2,0.0,8.8,38.7,73,4,0nJW01T7XtvILxQgC5J7Wh,[0du5cEVh5yTK9QJze8zA0C],[Bruno Mars],[61970525],[96]
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Bruno Mars,80,Doo-Wops & Hooligans,2010,3.68,Pop,Elektra (NEK),63.5,84.1,F,-5.379,Major,4.22,1.34,0.0,6.22,42.4,109,4,47Slg6LuqLaX0VodpSCvPt,[0du5cEVh5yTK9QJze8zA0C],[Bruno Mars],[61970525],[96]
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,87,Unorthodox Jukebox,2012,3.89,Pop,Atlantic Records,72.6,69.8,F,-4.165,Major,4.31,4.9,0.0,30.9,86.7,144,4,3w3y8KPTfNeOKPiqUTakBh,[0du5cEVh5yTK9QJze8zA0C],[Bruno Mars],[61970525],[96]
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,86,24K Magic,2016,3.44,Pop,Atlantic Records,85.3,56.0,C#,-4.961,Major,4.06,1.3,0.0,9.44,86.0,134,4,0KKkJNfGyhkQ5aFogxQAPU,[0du5cEVh5yTK9QJze8zA0C],[Bruno Mars],[61970525],[96]
2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga,Bradley Cooper",82,A Star Is Born Soundtrack,2018,3.6,Pop,A Star is Born OST,57.7,38.5,G,-6.362,Major,3.0,37.1,0.0,23.1,33.1,96,4,2VxeLyX666F8uXCJ0dZF8B,"[1HY2Jd0NmPuamShAr6KMms,4VIvfOurcf0vuLRxLkGnIG]","[Lady Gaga,Bradley Cooper]","[32681865,265429]","[92,71]"
6P4d1NWBCNIYZjzF9k1mVN,good 4 u,Olivia Rodrigo,57,SOUR,2021,2.97,Pop,Olivia Rodrigo PS,56.2,64.3,A,-5.025,Major,14.1,29.7,0.0,8.48,67.2,167,4,6P4d1NWBCNIYZjzF9k1mVN,[1McMsnEElThX1knmY4oliG],[Olivia Rodrigo],[41191128],[89]
