track_id,track_name,track_album_name,track_artist,artist_gender,track_album_release_year,duration_min,track_popularity,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Playlist_year,artist_id,artist_name,artist_followers,artist_popularity
7qEKZP3nOqWpEQlANPccOx,Espera,Esperanza,Esperanza Spalding,F,2 008,4.64,29,Jazz,Heads Up,39.0,33.0,A,-14.8,Major,4.0,61.0,3.0,11.0,21.0,152,1,2019,[5bepW5vcdRzheNc0F8lHJ5],[Esperanza Spalding],[399132],[49]
68vxG1i6RSmrsY9mRdqDgG,Burning,Heard It In A Past Life,Maggie Rogers,F,2 019,3.55,53,Indie,Capitol Records,74.0,69.0,F,-5.47,Major,10.0,21.0,0.0,11.0,28.0,110,4,2019,[4NZvixzsSefsNiIqXn0NDe],[Maggie Rogers],[1166373],[72]
3buy5Ooz6uNL48W1yBUzbM,Seventeen,Seventeen,Sharon Van Etten,F,2 019,4.43,0,Indie,Jagjaguwar,54.0,77.0,F,-7.37,Major,5.0,2.0,21.0,7.0,24.0,127,4,2019,[2wJ4vsxWd7df7dRU4KcoDe],[Sharon Van Etten],[541804],[56]
6Vmow8PuUaU7W1T2WWLZk2,Go Gina,Ctrl,SZA,F,2 017,2.69,61,Hip Hop,Top Dawg Entertainment/RCA Records,60.0,61.0,A,-6.63,Major,11.0,80.0,0.0,39.0,46.0,80,4,2019,[7tYKF4w9nC0nq9CsPZTHyP],[SZA],[24229902],[90]
0k664IuFwVP557Gnx7RhIl,Juice,Cuz I Love You,Lizzo,F,2 019,3.25,66,Hip Hop,Nice Life/Atlantic,77.0,89.0,G,-2.99,Major,10.0,1.0,0.0,40.0,84.0,120,4,2019,[56oDRnqbIiwx4mymNEv7dS],[Lizzo],[5714695],[70]
2cvztQuBIxwV38kg1Ydaww,How High The Moon - 1st Take,Lullabies Of Birdland,Ella Fitzgerald,F,1 954,3.26,41,Jazz,Verve Reissues,68.0,47.0,F,-5.18,minor,10.0,81.0,0.0,11.0,63.0,113,4,2019,[5V0MlUE1Bft0mbLlND7FJz],[Ella Fitzgerald],[2559247],[70]
0At2qAoaVjIwWNAqrscXli,Boo'd Up,READY,Ella Mai,F,2 017,4.27,66,Hip Hop,10 Summers / Interscope PS,56.0,78.0,A#,-5.11,minor,5.0,9.0,0.0,8.0,24.0,82,4,2019,[7HkdQ0gt53LP4zmHsL0nap],[Ella Mai],[5672202],[71]
0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),The Miseducation of Lauryn Hill,Ms. Lauryn Hill,F,1 998,5.34,75,Hip Hop,Ruffhouse/Columbia,54.0,51.0,D,-8.93,minor,25.0,4.0,0.0,9.0,50.0,100,4,2019,[2Mu5NfyYm8n5iTomuKAEHl],[Ms. Lauryn Hill],[3118436],[75]
2U7X7mPD4wSp0capCGfpmM,It's Love,"Who Is Jill Scott? - Words and Sounds, Vol. 1",Jill Scott,F,2 000,5.91,40,Hip Hop,Hidden Beach Records,70.0,59.0,C#,-8.75,minor,16.0,2.0,1.0,5.0,61.0,172,4,2019,[6AVLthptCPhfrxlHadOBJD],[Jill Scott],[1795265],[58]
7sd72KZS8D59g5NmhxyHpJ,Toast,Rapture EP,Original Koffee,F,2 019,3.19,10,House/Dance,Columbia,91.0,64.0,A#,-7.92,minor,26.0,3.0,0.0,7.0,79.0,100,4,2019,[1gWjcmBsveEYMxOZ0VRi32],[Original Koffee],[741409],[57]
6bTORCskFVRlnHXbVgnKEe,Can U Believe,The Evolution of Robin Thicke,Robin Thicke,M,2 006,4.87,31,R&B,The Neptunes,64.0,41.0,B,-7.77,Major,3.0,46.0,0.0,14.0,35.0,82,4,2019,[0ZrpamOxcZybMHGg1AYtHP],[Robin Thicke],[1952648],[64]
53w2vsCVLYmgh15RhIwWsw,Float,Comin' From Where I'm From,Anthony Hamilton,M,2 003,5.69,30,R&B,Arista,62.0,42.0,F#,-7.57,Major,4.0,14.0,0.0,37.0,39.0,113,3,2019,[2DzRMyWgjuMbYvt5BLbpCo],[Anthony Hamilton],[1598373],[60]
3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,M,1 956,3.73,66,Jazz,Capitol Records,58.0,25.0,C#,-12.61,Major,4.0,45.0,0.0,11.0,59.0,127,4,2019,[1Mxqyy3pSjf8kZZL4QVxS0],[Frank Sinatra],[7563002],[80]
1N1rSR5jV0Bln3z73lfGbH,II B.S.,Best Of Jazz Bass,Charles Mingus,M,2 013,4.79,0,Jazz,U-5,44.0,44.0,C,-14.23,Major,5.0,70.0,48.0,18.0,69.0,107,4,2019,[1W8TbFzNS15VwsempfY12H],[Charles Mingus],[480974],[49]
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Blowin' Your Mind!,Van Morrison,M,1 967,3.06,83,Rock,Columbia/Legacy,49.0,58.0,G,-10.96,Major,4.0,19.0,0.0,41.0,91.0,151,4,2019,[44NX2ffIYHr6D4n7RaZF7A],[Van Morrison],[3314168],[75]
7CQXyFX44CXmnuq8Bi9Dyc,Get Together,The Youngbloods,The Youngbloods,M,1 967,4.65,53,Rock,Legacy Recordings,54.0,49.0,D,-11.93,Major,3.0,47.0,0.0,9.0,58.0,103,4,2019,[5I6MzhNEMk27cZsCqGAIYo],[The Youngbloods],[147719],[43]
2GuXIMRlaxVLcU0a5jacHw,Go,Let's Rock,The Black Keys,M,2 019,2.44,51,Rock,Nonesuch,48.0,67.0,C#,-7.77,Major,6.0,4.0,73.0,34.0,72.0,150,4,2019,[7mnBLXK823vNxN3UWB7Gfz],[The Black Keys],[4053278],[73]
5fXRPS1tp70DbqsBZVyG4e,Happy,Exile On Main Street (Deluxe Version),The Rolling Stones,M,1 972,3.08,51,Rock,Polydor Records,56.0,90.0,E,-3.47,Major,3.0,37.0,0.0,54.0,97.0,132,4,2019,[22bE4uQ6baNwSHPVcDxLCe],[The Rolling Stones],[14614334],[80]
1I7zHEdDx8Ny5RxzYPqsU2,Reelin' In The Years,Can't Buy A Thrill,Steely Dan,M,1 972,4.59,3,Rock,Geffen*,52.0,76.0,D,-9.81,Major,4.0,13.0,0.0,10.0,77.0,135,4,2019,[6P7H3ai06vU1sGvdpBwDmE],[Steely Dan],[2319020],[68]
1q8gelFgFYUwoWpQV7WNCe,54-46 Was My Number,In The Dark,Toots & The Maytals,M,1 973,3.4,62,Reggae,Island Records,69.0,36.0,C,-9.57,Major,6.0,18.0,0.0,11.0,60.0,160,4,2019,[6ZFv3wQwwWPiVDWhv0mjQK],[Toots & The Maytals],[474635],[57]
3Ti0GdlrotgwsAVBBugv0I,Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,M,1 990,4.19,68,Hip Hop,Jive/Legacy,85.0,67.0,C,-6.55,Major,27.0,17.0,0.0,13.0,74.0,97,4,2019,[09hVIj6vWgoCDtT03h8ZCa],[A Tribe Called Quest],[2213335],[68]
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,7 EP,"Lil Nas X,Billy Ray Cyrus",M,2 019,2.62,72,Hip Hop,Columbia,88.0,62.0,F#,-5.56,Major,10.0,5.0,0.0,11.0,64.0,136,4,2019,"[7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa]","[Lil Nas X,Billy Ray Cyrus]","[12410871,255827]","[76,63]"
5vPVxHRFg8cUwRr8j7yqXf,Alright,Get Lifted,John Legend,M,2 005,3.35,35,Soul/Funk/Motown,Getting Out Our Dreams/Sony Urban Music/Columbia,55.0,72.0,D,-8.2,Major,22.0,52.0,0.0,48.0,58.0,160,4,2019,[5y2Xq6xcjJb2jVM54GHK3t],[John Legend],[7206516],[77]
