acousticness,danceability,duration_min,energy,genre,genre2,instrumentalness,key,liveness,loudness,mode,speechiness,track_album_name,track_album_release_year,track_artist,track_id,track_name,track_popularity,tempo,valence,in_obama_playlist
3.0,74.0,2.68,72.0,hip hop,hip hop/rap,0.0,F,16.0,-3.82,minor,7.0,SPEAK NOW,2024,"Moneybagg Yo,Morgan Wallen",00vR63trn1CzygcjgAFaiM,WHISKEY WHISKEY (feat. Morgan Wallen),65,152,71.0,1
20.0,69.0,6.54,52.0,hip hop,hip hop/rap,0.0,F,49.0,-9.72,major,16.0,3.15.20,2020,"Childish Gambino,21 Savage,Ink,Kadhja Bonet",011ZwIM48eD8ee2UBpG8nK,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",3,164,41.0,1
60.2,77.0,8.2,73.4,rock,rock,3.11,C#,14.3,-8.029,major,13.5,Gentleman,1973,Fela Kuti,01M4pDUAFpAiuvtNSDRSlE,Fefe Naa Efe,27,93,68.6,0
22.6,75.7,2.66,68.8,latin,global music,0.0,A,23.7,-4.546,major,11.2,Más Futuro Que Pasado,2019,Juanes,02lGHA7bFFplYLihnUWTx8,Tequila,77,156,70.4,0
45.4,51.2,2.66,23.0,rock,rock,0.01,C,5.08,-16.41,major,3.01,John Wesley Harding,1967,Bob Dylan,032kwZ9kg4yIaIPBOOIwlm,I'll Be Your Baby Tonight,37,128,45.7,1
0.0873,26.4,4.63,98.1,edm,edm/house/dance,38.4,F#,11.2,-2.909,minor,5.26,Payback,2013,Sandro Silva,03bF2V5oDkhYDrMY6m7ZLB,Payback - Original Mix,25,128,23.0,0
0.544,76.0,4.4,59.5,rap,hip hop/rap,0.0,C#,24.1,-6.366,major,3.91,Flockaveli,2010,Waka Flocka Flame,03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),74,131,36.1,0
1.0,82.0,3.18,74.0,afrobeats,afrobeats,0.0,A,10.0,-6.83,minor,8.0,Know Your Worth (feat. Davido & Tems),2020,"Khalid,Disclosure,Davido,Tems",04QTmCTsaVjcGaoxj8rSjE,Know Your Worth (feat. Davido & Tems),59,103,67.0,1
9.86,88.8,4.03,57.7,rap,hip hop/rap,0.0,C#,13.1,-7.702,minor,6.12,New Joc City (Explicit Content U.S. Version),2006,Yung Joc,05Sgj1Hx03ZXc57gsV1kfX,It's Goin' Down (feat. Nitti),65,84,60.9,0
18.0,33.0,4.11,53.0,jazz,jazz,0.0,C,33.0,-11.23,major,5.0,Both Directions At Once: The Lost Album (Deluxe Version),2018,John Coltrane,05hSCC5hwv2rR4EyuslURV,Impressions - Take 1,18,81,69.0,1
13.1,63.8,2.8,81.8,pop,pop,0.0018,A,10.7,-4.517,minor,5.0,Talk (Alle Farben Remix),2019,Khalid,06BrHnTVDOydsfg0LZ6mQb,Talk - Alle Farben Remix,56,126,48.9,0
3.86,68.6,3.45,61.3,pop,pop,0.0,D,25.1,-5.614,major,6.9,With You (Frank Walker Remix),2019,Tyler Shaw,06Z7Hy2LUzbcSFmWzwkun1,With You - Frank Walker Remix,49,105,45.2,0
96.4,55.9,2.5,15.1,jazz,jazz,0.8,G#,15.6,-11.53,major,7.71,Complete Sarah Vaughan Masters 1944-1952,2024,Sarah Vaughan,06g1Ng516askYyKHG0tRkR,Interlude (A Night in Tunisia),6,99,45.2,1
76.0,54.0,2.77,60.0,folk,folk,0.0,A,16.0,-8.85,minor,4.0,star-crossed,2021,Kacey Musgraves,06tKb2aBA9sma7Sftu7kSw,keep lookin’ up,44,61,32.0,1
1.0,59.0,3.0,78.0,rock,rock,0.0,B,7.0,-10.05,minor,24.0,Blunderbuss,2012,Jack White,07AjyDeE85pDr4Dj8BzgWB,I'm Shakin',49,81,76.0,1
0.064,83.7,3.94,72.6,edm,edm/house/dance,68.5,C#,6.85,-4.913,major,10.3,Cigarette,2019,Fatesky,07Y1gaU5oQfWm0WTyaQR4D,Cigarette,33,124,53.2,0
15.0,42.0,7.6,56.0,hip hop,hip hop/rap,0.0,C#,12.0,-8.73,major,16.0,Finding Forever,2007,Common,07ZupLQ6Ao03TZprc7oMYX,Forever Begins,9,98,51.0,1
2.0,74.0,2.61,68.0,hip hop,hip hop/rap,0.0,C#,8.0,-5.84,major,36.0,Back At It (feat. Lil Baby),2020,"Lil Mosey,Lil Baby",07twUUK8jWUCVsrSoEgbLW,Back At It (feat. Lil Baby),40,165,72.0,1
9.61,77.2,4.68,76.5,latin,global music,0.0,G,10.7,-4.576,minor,6.6,Por Contarle Los Secretos,2019,Jon Z,07yM5vxBxAIXWzNqu1BnF6,Por Contarle Los Secretos,67,144,39.2,0
0.0,50.0,3.92,80.0,pop,pop,0.0,C#,10.0,-5.91,major,4.0,the record,2023,"boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",09DR0sHnQUhHOiSNttc1mv,Not Strong Enough,72,127,31.0,1
9.0,56.0,4.27,78.0,hip hop,hip hop/rap,0.0,A#,8.0,-5.11,minor,5.0,READY,2017,Ella Mai,0At2qAoaVjIwWNAqrscXli,Boo'd Up,66,82,24.0,1
29.1,25.5,4.96,37.2,rock,rock,0.0,E,26.9,-16.437,minor,4.24,Scott,1967,Scott Walker,0AyAhgf2sihNnGt1ymLhg2,My Death,24,82,39.2,0
86.1,60.5,13.45,20.5,jazz,jazz,45.8,F,11.4,-11.77,major,5.22,"All That Jazz, Vol. 44: Miles Davis, Vol. 3 – Cool Boplicity in Hackensack (Remastered 2015)",2015,Miles Davis,0Bvjb6BHDKfSpaFNuASHny,Walkin',18,126,48.6,1
60.4,65.8,6.3,67.5,rock,rock,0.0,A,4.28,-10.967,major,24.2,Beggars Banquet,1968,The Rolling Stones,0DQtwZLpvln583U1WWv6To,Sympathy For The Devil,3,116,58.7,0
0.418,62.3,3.65,92.9,edm,edm/house/dance,0.478,F#,14.2,-3.127,major,9.46,Love For Latinas,2019,Kramder,0DjBIx0EIjHd8aQFt4Krgo,Love For Latinas - Radio Edit,31,125,70.4,0
1.58,46.6,3.94,88.9,rock,rock,0.131,B,25.3,-5.301,minor,11.5,Absolute Rock Anthems,2008,Ram Jam,0DzwkXawqzpt0k7jxjfdEf,Black betty,2,118,77.3,0
26.4,50.3,3.11,75.4,pop,pop,0.0059,G,29.7,-3.634,major,4.24,2 Hearts (feat. Gia Koka),2020,Sam Feldt,0EdgK7ASb4kfRkW8pVMN02,2 Hearts (feat. Gia Koka),70,117,59.7,0
1.0,57.0,3.87,69.0,reggaeton,global music,0.0,F#,17.0,-8.23,minor,5.0,UN DIA (ONE DAY) (Feat. Tainy),2020,"J Balvin,Dua Lipa,Bad Bunny,Tainy",0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),68,168,39.0,1
48.6,49.4,4.34,66.1,rock,rock,80.6,A#,11.6,-7.54,minor,4.7,Emmaar,2014,Tinariwen,0Etl0p4Z6doS0xFxqdhrOn,Toumast Tincha,46,90,20.4,0
66.3,79.8,4.53,60.0,latin,global music,0.0003,D#,12.2,-5.415,minor,11.6,Herejías,2015,Gordo Sarkasmus,0GK06YlGqg7NcytdQXZiQQ,Wild In Saint Antoine,36,86,91.9,0
16.9,65.4,3.07,87.4,pop,pop,0.0002,F#,13.4,-3.885,major,5.43,Brave,2019,Don Diablo,0GRoERSBBky3YgdKW2w2Vc,Brave,68,120,54.2,0
2.0,92.0,2.61,63.0,hip hop,hip hop/rap,0.0,C#,15.0,-5.17,major,38.0,Wanna Be (with Megan Thee Stallion),2024,"GloRilla,Megan Thee Stallion",0Izt8MdEU7zDy2hDsm5YkH,Wanna Be (with Megan Thee Stallion),67,135,41.0,1
63.0,54.0,4.18,82.0,rock,rock,4.0,F,30.0,-10.14,major,4.0,With A Little Help From My Friends,1969,Joe Cocker,0Jl5bIEve3A4axcjY3EgDZ,Feelin' Alright,59,90,90.0,1
